ID	Word	Definition	Class	Register	CEFR Level	IPA	Image	Example	Cambridge Examples	Audio	Definition Audio	Example Audio	Explanation	Morphology	Etymology	Connected Words	Hint	Tags
leaf	leaf	"A <span id=""word-in-definition"">leaf</span> is the flat green thing on trees or bushes."	noun		B1	/liːf/	"<img src=""leaf.jpg"" />"	In the fall, the leaves on the trees change colors.	"• a palm leaf
<br>• autumn leaves
<br>• He was raking up leaves in his garden."	[sound:leaf.mp3]	[sound:leaf_meaning.mp3]	[sound:leaf_example.mp3]						English::cefr-B1
patience	patience	"<span id=""word-in-definition"">patience</span> is the ability to wait for something without becoming upset."	noun		B2	/ˈpeɪ.ʃəns/	"<img src=""patience.jpg"" />"	Sue's patience was rewarded by catching her very first fish.	"• You have to have such a lot of patience when you're dealing with kids.
<br>• In the end I lost my patience and shouted at her.
<br>• He's a good teacher, but he doesn't have much patience with the slower pupils.
<br>• Making small-scale models takes/requires a great deal of patience.
<br>• Their youngest son was beginning to try my patience (= annoy me).
<br>• Patience - they'll be here soon!"	[sound:patience.mp3]	[sound:patience_meaning.mp3]	[sound:patience_example.mp3]						English::cefr-B2
pond	pond	"A <span id=""word-in-definition"">pond</span> is a very small area of water."	noun		B2	/pɑːnd/	"<img src=""pond.jpg"" />"	The ducks swam in the pond.	• a duck pond	[sound:pond.mp3]	[sound:pond_meaning.mp3]	[sound:pond_example.mp3]						English::cefr-B2
deliberate	deliberate	"If you are <span id=""word-in-definition"">deliberate</span>, you do something on purpose."	adjective		B2	/dɪˈlɪb.ɚ.ət/	"<img src=""deliberate.jpg"">"	Bernie made a deliberate attempt to injure Andy.	"• a deliberate attack/insult/lie
<br>• We made a deliberate decision to live apart for a while."	[sound:deliberate.mp3]	[sound:deliberate_meaning.mp3]	[sound:deliberate_example.mp3]						English::cefr-B2
explode	explode	"When something <span id=""word-in-definition"">explode</span>s, it blows up."	verb		B1	/ɪkˈsploʊd/	"<img src=""explode.jpg"" />"	My new radio exploded when I plugged it in.	"• A bomb exploded at one of the capital's busiest railway stations this morning.
<br>• He was driving so fast that his car tyre exploded."	[sound:explode.mp3]	[sound:explode_meaning.mp3]	[sound:explode_example.mp3]						English::cefr-B1
fasten	fasten	"To <span id=""word-in-definition"">fasten</span> something is to close it or put it in the correct place."	verb		B1	/ˈfæs.ən/	"<img src=""fasten.jpg"" />"	Elizabeth fastened her seat belt.	"• Make sure your seat belt is securely fastened.
<br>• This shirt fastens at the back."	[sound:fasten.mp3]	[sound:fasten_meaning.mp3]	[sound:fasten_example.mp3]						English::cefr-B1
kit	kit	"A <span id=""word-in-definition"">kit</span> is a set of all the things needed to do something."	noun		B1	/kɪt/	"<img src=""kit.jpg"" />"	Is there a first aid kit in your office?	"• a first-aid/tool kit
<br>• a pregnancy-testing kit"	[sound:kit.mp3]	[sound:kit_meaning.mp3]	[sound:kit_example.mp3]						English::cefr-B1
scent	scent	"A <span id=""word-in-definition"">scent</span> is a smell."	noun		B2	/sent/	"<img src=""scent.jpg"" />"	Julie enjoyed the scent of the flowers.	• the scent of roses	[sound:scent.mp3]	[sound:scent_meaning.mp3]	[sound:scent_example.mp3]						English::cefr-B2
steel	steel	"<span id=""word-in-definition"">steel</span> is a shiny gray metal."	noun		B2	/stiːl/	"<img src=""steel.jpg"" />"	The new apartment building was made with steel.	"• steel girders/rods/struts
<br>• a steel helmet
<br>• a steel-plated army truck"	[sound:steel.mp3]	[sound:steel_meaning.mp3]	[sound:steel_example.mp3]						English::cefr-B2
bitter	bitter	"When a person is <span id=""word-in-definition"">bitter</span>, they are upset with someone or a situation."	adjective		B2	/ˈbɪt̬.ɚ/	"<img src=""bitter.jpg"" />"	He was extremely bitter when his computer crashed.	"• a bitter fight/argument
<br>• bitter recriminations
<br>• He gave me a bitter look."	[sound:bitter.mp3]	[sound:bitter_meaning.mp3]	[sound:bitter_example.mp3]						English::cefr-B2
